,_id,nome_percorso,url,distanza,tipo,fondo,pendenza_max,dislivello,rif_regione
691,2526,Parma: Via Emilia Est-Torrente Parma,https://www.piste-ciclabili.com/itinerari/2526-parma-via-emilia-est-torrente-parma,3 km,ciclopedonale,asfalto,5 %,13 m,4
692,2532,Parma: Via la Spezia - Zona stadio Aldo Notari,https://www.piste-ciclabili.com/itinerari/2532-parma-via-la-spezia-zona-stadio-aldo-notari,1 km,ciclabile,asfalto,5 %,6 m,4
693,2519,Parma: Via Mantova - Vicopò,https://www.piste-ciclabili.com/itinerari/2519-parma-via-mantova-vicop,3 km,ciclopedonale,asfalto,5 %,11 m,4
694,2530,Parma: Via Osacca,https://www.piste-ciclabili.com/itinerari/2530-parma-via-osacca,1 km,ciclabile,asfalto,1 %,3 m,4
695,1928,Parma: Via Venezia dalla Madonnina al Cristo,https://www.piste-ciclabili.com/itinerari/1928-parma-via-venezia-dalla-madonnina-al-cristo,2 km,ciclopedonale,asfalto,0 %,5 m,4
696,5067,Parola - Fidenza,https://www.piste-ciclabili.com/itinerari/5067-parola-fidenza,2 km,ciclabile,asfalto,5 %,5 m,4
697,5600,Passo del Cerreto - Cerreto Laghi,https://www.piste-ciclabili.com/itinerari/5600-passo-del-cerreto-cerreto-laghi,3 km,ciclostrada,asfalto,20 %,105 m,4
698,5945,"Passo di Annibale - Foce a Giovo, Via Della Foce",https://www.piste-ciclabili.com/itinerari/5945-passo-di-annibale-foce-a-giovo-via-della-foce,2 km,sentiero,terra,10 %,133 m,4
699,3409,Pavia - Piacenza - Fidenza - Fornovo Taro,https://www.piste-ciclabili.com/itinerari/3409-pavia-piacenza-fidenza-fornovo-taro,269 km,ciclabile,misto,20 %,248 m,4
700,2633,Percorso Natura Il Tiepido,https://www.piste-ciclabili.com/itinerari/2633-percorso-natura-il-tiepido,15 km,ciclopedonale,ghiaia,2 %,135 m,4
701,4753,Piacenza - Gossolengo,https://www.piste-ciclabili.com/itinerari/4753-piacenza-gossolengo,8 km,ciclostrada,asfalto,1 %,23 m,4
702,2157,Piacenza - Voghera,https://www.piste-ciclabili.com/itinerari/2157-piacenza-voghera,73 km,ciclostrada,misto,15 %,51 m,4
703,5089,Piacenza F.S. - Val Trebbia,https://www.piste-ciclabili.com/itinerari/5089-piacenza-fs-val-trebbia,11 km,ciclopedonale,misto,10 %,14 m,4
704,394,Piacenza: argine del Po,https://www.piste-ciclabili.com/itinerari/394-piacenza-argine-del-po,5 km,ciclopedonale,asfalto,6 %,11 m,4
705,2002,Piacenza: Piacenza - Pianello Val Tidone (anello),https://www.piste-ciclabili.com/itinerari/2002-piacenza-piacenza-pianello-val-tidone-anello,49 km,strada,asfalto,26 %,484 m,4
706,1061,Piacenza: Stazione centrale - via 21 Aprile,https://www.piste-ciclabili.com/itinerari/1061-piacenza-stazione-centrale-via-21-aprile,1 km,ciclabile,asfalto,3 %,2 m,4
707,4657,Pian del Cavallaro - Alpicella del Cimone,https://www.piste-ciclabili.com/itinerari/4657-pian-del-cavallaro-alpicella-del-cimone,4 km,sentiero,misto,25 %,264 m,4
708,5552,Piandelagotti _ San Geminiano,https://www.piste-ciclabili.com/itinerari/5552-piandelagotti-san-geminiano,4 km,strada,asfalto,20 %,240 m,4
709,3314,Pianoro: ciclopedonale di Via Nazionale,https://www.piste-ciclabili.com/itinerari/3314-pianoro-ciclopedonale-di-via-nazionale,1 km,ciclopedonale,asfalto,0 %,0 m,4
710,3521,Pianoro: Via Caurinzano,https://www.piste-ciclabili.com/itinerari/3521-pianoro-via-caurinzano,10 km,strada,misto,20 %,350 m,4
711,4918,Pievepelago - Fiumalbo,https://www.piste-ciclabili.com/itinerari/4918-pievepelago-fiumalbo,8 km,sentiero,misto,22 %,379 m,4
712,2884,Pista Ciclabile Golena del Po: Cremona - Casalmaggiore - Cicognara,https://www.piste-ciclabili.com/itinerari/2884-pista-ciclabile-golena-del-po-cremona-casalmaggiore-cicognara,61 km,ciclopedonale,misto,12 %,20 m,4
713,280,Piste ciclabile Ravenna - mare,https://www.piste-ciclabili.com/itinerari/280-piste-ciclabile-ravenna-mare,8 km,ciclopedonale,asfalto,1 %,5 m,4
714,765,Piumazzo - Bazzano,https://www.piste-ciclabili.com/itinerari/765-piumazzo-bazzano,6 km,ciclostrada,misto,6 %,27 m,4
715,977,Piumazzo - Calcara,https://www.piste-ciclabili.com/itinerari/977-piumazzo-calcara,13 km,strada,misto,5 %,15 m,4
716,4614,Pizzano Calanchi dell'Abbadessa,https://www.piste-ciclabili.com/itinerari/4614-pizzano-calanchi-dellabbadessa,41 km,sentiero,misto,24 %,475 m,4
717,1391,Pizzighettone - Cremona,https://www.piste-ciclabili.com/itinerari/1391-pizzighettone-cremona,25 km,ciclabile,misto,4 %,20 m,4
718,5234,Pizzighettone Canale navigabile - Cremona - Crotta,https://www.piste-ciclabili.com/itinerari/5234-pizzighettone-canale-navigabile-cremona-crotta,39 km,ciclabile,misto,10 %,19 m,4
719,3627,Po di Volano: Massa Fiscaglia - Codigoro,https://www.piste-ciclabili.com/itinerari/3627-po-di-volano-massa-fiscaglia-codigoro,10 km,ciclostrada,terra,3 %,6 m,4
720,5128,PO: Ficarolo - Pontelagoscuro,https://www.piste-ciclabili.com/itinerari/5128-po-ficarolo-pontelagoscuro,55 km,ciclostrada,asfalto,5 %,14 m,4
721,153,Ponte Alto Modena - Castellarano,https://www.piste-ciclabili.com/itinerari/153-ponte-alto-modena-castellarano,27 km,ciclabile,ghiaia,5 %,118 m,4
722,168,Ponte pioppa - San Martino Secchia,https://www.piste-ciclabili.com/itinerari/168-ponte-pioppa-san-martino-secchia,12 km,ciclabile,ghiaia,1 %,9 m,4
723,120,Ponte sul Po di Cremona - Colorno,https://www.piste-ciclabili.com/itinerari/120-ponte-sul-po-di-cremona-colorno,48 km,ciclabile,misto,2 %,16 m,4
724,125,Pontelagoscuro (destra Po) - Ferrara,https://www.piste-ciclabili.com/itinerari/125-pontelagoscuro-destra-po-ferrara,7 km,sentiero,misto,0 %,11 m,4
725,5472,porto fuori anello,https://www.piste-ciclabili.com/itinerari/5472-porto-fuori-anello,28 km,strada,asfalto,1 %,9 m,4
726,852,Porto Tolle: Isola della Donzella,https://www.piste-ciclabili.com/itinerari/852-porto-tolle-isola-della-donzella,62 km,ciclostrada,asfalto,1 %,3 m,4
727,2202,Portomaggiore - Trava - Oasi vallive,https://www.piste-ciclabili.com/itinerari/2202-portomaggiore-trava-oasi-vallive,16 km,ciclabile,misto,0 %,2 m,4
728,2559,Portoverde - Riccione - Rimini,https://www.piste-ciclabili.com/itinerari/2559-portoverde-riccione-rimini,17 km,ciclabile,asfalto,3 %,8 m,4
729,3887,Pozza - Sassuolo,https://www.piste-ciclabili.com/itinerari/3887-pozza-sassuolo,9 km,ciclopedonale,asfalto,5 %,17 m,4
730,6085,Pozzaglio -Cremona Pò - Stagno Lombardo,https://www.piste-ciclabili.com/itinerari/6085-pozzaglio-cremona-p-stagno-lombardo,46 km,ciclostrada,misto,1 %,15 m,4
731,4641,Pracchia: tra Toscana ed Emilia,https://www.piste-ciclabili.com/itinerari/4641-pracchia-tra-toscana-ed-emilia,17 km,strada,asfalto,28 %,270 m,4
732,4159,Puianello - Reggio - Albinea (anello),https://www.piste-ciclabili.com/itinerari/4159-puianello-reggio-albinea-anello,23 km,ciclopedonale,misto,10 %,104 m,4
733,231,Punta Marina (anello),https://www.piste-ciclabili.com/itinerari/231-punta-marina-anello,7 km,ciclabile,asfalto,1 %,9 m,4
734,4547,Punta Marina - Milano Marittima,https://www.piste-ciclabili.com/itinerari/4547-punta-marina-milano-marittima,25 km,ciclostrada,misto,3 %,9 m,4
735,3947,Quarto Inferiore - Granarolo dell'Emilia,https://www.piste-ciclabili.com/itinerari/3947-quarto-inferiore-granarolo-dellemilia,3 km,ciclabile,asfalto,1 %,4 m,4
736,3823,Quinzio - Maneggio - Sabbione,https://www.piste-ciclabili.com/itinerari/3823-quinzio-maneggio-sabbione,8 km,strada,asfalto,10 %,22 m,4
737,5295,Ravenna - Argine,https://www.piste-ciclabili.com/itinerari/5295-ravenna-argine,4 km,ciclabile,misto,1 %,5 m,4
738,2694,Ravenna - Ferrara,https://www.piste-ciclabili.com/itinerari/2694-ravenna-ferrara,123 km,strada,misto,3 %,12 m,4
739,1972,Ravenna - Forlì - Terra del Sole,https://www.piste-ciclabili.com/itinerari/1972-ravenna-forl-terra-del-sole,42 km,sentiero,misto,12 %,66 m,4
740,3232,Ravenna - Lido di Classe,https://www.piste-ciclabili.com/itinerari/3232-ravenna-lido-di-classe,16 km,sentiero,misto,1 %,3 m,4
741,1983,Ravenna - Punta Marina - M. Romea - Piallassa Baiona,https://www.piste-ciclabili.com/itinerari/1983-ravenna-punta-marina-m-romea-piallassa-baiona,45 km,sentiero,misto,5 %,12 m,4
742,1951,Ravenna circuito Reno valli Comacchio e Baiona,https://www.piste-ciclabili.com/itinerari/1951-ravenna-circuito-reno-valli-comacchio-e-baiona,59 km,sentiero,terra,20 %,12 m,4
743,5572,Ravenna Stazione - Foci del Bevano - Marina di Ravenna,https://www.piste-ciclabili.com/itinerari/5572-ravenna-stazione-foci-del-bevano-marina-di-ravenna,33 km,ciclostrada,misto,2 %,10 m,4
744,1958,Reggio Emilia - S.Pietro Masone,https://www.piste-ciclabili.com/itinerari/1958-reggio-emilia-spietro-masone,7 km,ciclopedonale,asfalto,1 %,8 m,4
745,1956,Reggio Emilia - Aeroporto Gavassa,https://www.piste-ciclabili.com/itinerari/1956-reggio-emilia-aeroporto-gavassa,2 km,ciclopedonale,asfalto,5 %,5 m,4
746,746,Reggio Emilia - Anello centro storico,https://www.piste-ciclabili.com/itinerari/746-reggio-emilia-anello-centro-storico,5 km,ciclopedonale,misto,2 %,12 m,4
747,2948,Reggio Emilia - Colli di Albinea,https://www.piste-ciclabili.com/itinerari/2948-reggio-emilia-colli-di-albinea,35 km,strada,misto,22 %,223 m,4
748,1959,Reggio Emilia - Foro Boario Villa Sesso,https://www.piste-ciclabili.com/itinerari/1959-reggio-emilia-foro-boario-villa-sesso,5 km,ciclopedonale,asfalto,2 %,15 m,4
749,1952,Reggio Emilia - Lungo Crostolo Canalina,https://www.piste-ciclabili.com/itinerari/1952-reggio-emilia-lungo-crostolo-canalina,5 km,ciclopedonale,asfalto,0 %,27 m,4
750,1968,Reggio Emilia - Parcheggio Cecati Coviolo,https://www.piste-ciclabili.com/itinerari/1968-reggio-emilia-parcheggio-cecati-coviolo,4 km,ciclopedonale,asfalto,5 %,14 m,4
751,1961,Reggio Emilia - Pieve Modolena Calerno,https://www.piste-ciclabili.com/itinerari/1961-reggio-emilia-pieve-modolena-calerno,9 km,ciclopedonale,asfalto,1 %,10 m,4
752,1984,Reggio Emilia - Pieve Modolena Calerno,https://www.piste-ciclabili.com/itinerari/1984-reggio-emilia-pieve-modolena-calerno,9 km,ciclopedonale,asfalto,0 %,0 m,4
753,1390,Reggio Emilia - Reggia di Rivalta,https://www.piste-ciclabili.com/itinerari/1390-reggio-emilia-reggia-di-rivalta,7 km,ciclopedonale,misto,3 %,35 m,4
754,1371,Reggio Emilia - Vasca di Corbelli,https://www.piste-ciclabili.com/itinerari/1371-reggio-emilia-vasca-di-corbelli,9 km,ciclabile,misto,7 %,58 m,4
755,1955,Reggio Emilia Cavazzoli,https://www.piste-ciclabili.com/itinerari/1955-reggio-emilia-cavazzoli,4 km,ciclopedonale,asfalto,2 %,7 m,4
756,55,Reggio Emilia Centro - Mauriziano,https://www.piste-ciclabili.com/itinerari/55-reggio-emilia-centro-mauriziano,5 km,ciclopedonale,asfalto,1 %,19 m,4
757,880,Reggio Emilia: Anello centro - Pieve Modolena,https://www.piste-ciclabili.com/itinerari/880-reggio-emilia-anello-centro-pieve-modolena,5 km,ciclopedonale,asfalto,3 %,18 m,4
758,879,Reggio Emilia: Anello centro storico - Fraz. Canali,https://www.piste-ciclabili.com/itinerari/879-reggio-emilia-anello-centro-storico-fraz-canali,4 km,ciclopedonale,asfalto,5 %,18 m,4
759,957,Reggio Emilia: Anello centro storico - Pieve Modolena 2,https://www.piste-ciclabili.com/itinerari/957-reggio-emilia-anello-centro-storico-pieve-modolena-2,4 km,ciclopedonale,asfalto,5 %,16 m,4
760,747,"Reggio Emilia: Circonvalazione - centro storico, Tribunale",https://www.piste-ciclabili.com/itinerari/747-reggio-emilia-circonvalazione-centro-storico-tribunale,2 km,ciclopedonale,asfalto,5 %,11 m,4
761,710,Reggio Emilia: Stazione Centrale - Ponte Santiago Calatrava,https://www.piste-ciclabili.com/itinerari/710-reggio-emilia-stazione-centrale-ponte-santiago-calatrava,7 km,ciclopedonale,asfalto,5 %,27 m,4
762,4814,Reggio Emilia: Tre Croci ca Bertacchi' ca del Vento,https://www.piste-ciclabili.com/itinerari/4814-reggio-emilia-tre-croci-ca-bertacchi-ca-del-vento,36 km,strada,misto,3 %,376 m,4
763,1960,Reggio Emilia: Via Costituzione - Via dell'Aeronautica,https://www.piste-ciclabili.com/itinerari/1960-reggio-emilia-via-costituzione-via-dellaeronautica,4 km,ciclopedonale,asfalto,4 %,7 m,4
764,2132,Reggio Emilia: Zona Fiera - Direzione Centro,https://www.piste-ciclabili.com/itinerari/2132-reggio-emilia-zona-fiera-direzione-centro,2 km,ciclopedonale,asfalto,5 %,6 m,4
765,1537,Revere - Stellata,https://www.piste-ciclabili.com/itinerari/1537-revere-stellata,33 km,ciclostrada,asfalto,2 %,9 m,4
766,3600,Riccione e mezza panoramica,https://www.piste-ciclabili.com/itinerari/3600-riccione-e-mezza-panoramica,42 km,ciclostrada,asfalto,25 %,175 m,4
767,1312,Riccione: parco della resistenza - viale milano,https://www.piste-ciclabili.com/itinerari/1312-riccione-parco-della-resistenza-viale-milano,6 km,ciclopedonale,asfalto,3 %,12 m,4
768,1311,Riccione: viale cinconvallazione,https://www.piste-ciclabili.com/itinerari/1311-riccione-viale-cinconvallazione,4 km,ciclopedonale,asfalto,5 %,11 m,4
769,471,Riccò - Fornovo,https://www.piste-ciclabili.com/itinerari/471-ricc-fornovo,2 km,ciclopedonale,asfalto,1 %,12 m,4
770,3860,Rimini - Gubbio,https://www.piste-ciclabili.com/itinerari/3860-rimini-gubbio,108 km,ciclostrada,asfalto,26 %,857 m,4
771,3657,Rimini - Novafeltria,https://www.piste-ciclabili.com/itinerari/3657-rimini-novafeltria,10 km,ciclopedonale,misto,5 %,11 m,4
772,6227,Rimini - Pista Ciclabile Ad Anello,https://www.piste-ciclabili.com/itinerari/6227-rimini-pista-ciclabile-ad-anello,15 km,ciclopedonale,misto,0 %,0 m,4
773,5888,Rimini - Riccione mare e collina,https://www.piste-ciclabili.com/itinerari/5888-rimini-riccione-mare-e-collina,32 km,ciclabile,misto,5 %,41 m,4
774,261,Rimini - Verucchio - Novafeltria,https://www.piste-ciclabili.com/itinerari/261-rimini-verucchio-novafeltria,38 km,ciclabile,ghiaia,11 %,257 m,4
775,3588,Rimini - Verucchio: le coste di Sgrigna,https://www.piste-ciclabili.com/itinerari/3588-rimini-verucchio-le-coste-di-sgrigna,18 km,strada,asfalto,15 %,279 m,4
776,5366,Rimini -Cervia,https://www.piste-ciclabili.com/itinerari/5366-rimini-cervia,37 km,ciclostrada,asfalto,5 %,13 m,4
777,5495,Rio Saliceto - anello del Salone della Bicicletta 2015,https://www.piste-ciclabili.com/itinerari/5495-rio-saliceto-anello-del-salone-della-bicicletta-2015,19 km,strada,misto,1 %,11 m,4
778,5732,Rio Saliceto - Mandriolo - Mandrio (anello),https://www.piste-ciclabili.com/itinerari/5732-rio-saliceto-mandriolo-mandrio-anello,7 km,pedonale,misto,1 %,4 m,4
779,5917,Rio Saliceto - Reggiolo,https://www.piste-ciclabili.com/itinerari/5917-rio-saliceto-reggiolo,22 km,ciclabile,misto,2 %,8 m,4
780,5731,Rio Saliceto: Parco Ciclistico della Bassa,https://www.piste-ciclabili.com/itinerari/5731-rio-saliceto-parco-ciclistico-della-bassa,12 km,sentiero,terra,5 %,6 m,4
781,5734,Rio Saliceto: Parco Ciclistico della Bassa,https://www.piste-ciclabili.com/itinerari/5734-rio-saliceto-parco-ciclistico-della-bassa,23 km,ciclostrada,misto,1 %,10 m,4
782,3007,Rivalta - Canali - Vezzano sul Crostolo: anello della zia,https://www.piste-ciclabili.com/itinerari/3007-rivalta-canali-vezzano-sul-crostolo-anello-della-zia,26 km,sentiero,misto,12 %,92 m,4
783,522,Roccabianca - San Daniele Po - Stagno Lombardo - Gerre dè Caprioli,https://www.piste-ciclabili.com/itinerari/522-roccabianca-san-daniele-po-stagno-lombardo-gerre-d-caprioli,25 km,ciclabile,asfalto,0 %,0 m,4
784,123,Rolo - Mirandola,https://www.piste-ciclabili.com/itinerari/123-rolo-mirandola,25 km,strada,asfalto,1 %,9 m,4
785,4214,Rolo - Peschiera,https://www.piste-ciclabili.com/itinerari/4214-rolo-peschiera,88 km,strada,asfalto,10 %,62 m,4
786,1206,Rolo - Rovereto - Moglia - Concordia - Novi,https://www.piste-ciclabili.com/itinerari/1206-rolo-rovereto-moglia-concordia-novi,39 km,sentiero,misto,2 %,10 m,4
787,4220,"Rolo, anello dello sportivo",https://www.piste-ciclabili.com/itinerari/4220-rolo-anello-dello-sportivo,51 km,strada,misto,3 %,13 m,4
788,4213,Rolo: anello dei fiumi,https://www.piste-ciclabili.com/itinerari/4213-rolo-anello-dei-fiumi,46 km,strada,asfalto,4 %,10 m,4
789,4211,Rolo: anello del principe,https://www.piste-ciclabili.com/itinerari/4211-rolo-anello-del-principe,14 km,strada,misto,3 %,9 m,4
790,4205,Rolo: anello della calma - percorso base,https://www.piste-ciclabili.com/itinerari/4205-rolo-anello-della-calma-percorso-base,4 km,strada,misto,3 %,7 m,4
791,4206,Rolo: anello della calma - variante 1,https://www.piste-ciclabili.com/itinerari/4206-rolo-anello-della-calma-variante-1,6 km,strada,misto,2 %,7 m,4
792,4207,Rolo: anello della calma - variante 2,https://www.piste-ciclabili.com/itinerari/4207-rolo-anello-della-calma-variante-2,9 km,strada,misto,2 %,7 m,4
793,4210,Rolo: anello della domenica,https://www.piste-ciclabili.com/itinerari/4210-rolo-anello-della-domenica,33 km,strada,misto,3 %,8 m,4
794,4208,Rolo: anello della siberia,https://www.piste-ciclabili.com/itinerari/4208-rolo-anello-della-siberia,14 km,strada,misto,1 %,9 m,4
795,4209,Rolo: anello dello sculazzo,https://www.piste-ciclabili.com/itinerari/4209-rolo-anello-dello-sculazzo,27 km,strada,misto,2 %,8 m,4
796,4212,Rolo: anello di gruppo,https://www.piste-ciclabili.com/itinerari/4212-rolo-anello-di-gruppo,30 km,strada,misto,2 %,8 m,4
797,3271,Rovereto - Dogato,https://www.piste-ciclabili.com/itinerari/3271-rovereto-dogato,5 km,ciclopedonale,asfalto,1 %,3 m,4
798,3946,Rubbiano - Varano de Melegari,https://www.piste-ciclabili.com/itinerari/3946-rubbiano-varano-de-melegari,14 km,sentiero,misto,27 %,371 m,4
799,6230,S. Giovanni in Persiceto - S. Matteo della Decima - Lorenzatico - Zenerigolo,https://www.piste-ciclabili.com/itinerari/6230-s-giovanni-in-persiceto-s-matteo-della-decima-lorenzatico-zenerigolo,34 km,ciclostrada,misto,0 %,0 m,4
800,5341,S.Bartolomeo: doppio anel,https://www.piste-ciclabili.com/itinerari/5341-sbartolomeo-doppio-anel,48 km,ciclostrada,misto,20 %,91 m,4
801,6177,S.Giovanni in Persiceto - S.Agata Bolognese - Crevalcore,https://www.piste-ciclabili.com/itinerari/6177-sgiovanni-in-persiceto-sagata-bolognese-crevalcore,17 km,strada,asfalto,0 %,0 m,4
802,5208,Salita al Passo di Pradarena da Piazza al Serchio (versante toscano),https://www.piste-ciclabili.com/itinerari/5208-salita-al-passo-di-pradarena-da-piazza-al-serchio-versante-toscano,20 km,strada,asfalto,26 %,1055 m,4
803,4913,Salita in Val di Luce,https://www.piste-ciclabili.com/itinerari/4913-salita-in-val-di-luce,5 km,ciclostrada,asfalto,22 %,312 m,4
804,154,Salse di Nirano,https://www.piste-ciclabili.com/itinerari/154-salse-di-nirano,7 km,strada,ghiaia,18 %,137 m,4
805,3906,Salse di Nirano,https://www.piste-ciclabili.com/itinerari/3906-salse-di-nirano,8 km,ciclopedonale,misto,23 %,142 m,4
806,2063,Salsomaggiore - Ponte Ghiara,https://www.piste-ciclabili.com/itinerari/2063-salsomaggiore-ponte-ghiara,5 km,ciclabile,misto,0 %,0 m,4
807,2949,Salvarano - Grassano - Salvarano (anello),https://www.piste-ciclabili.com/itinerari/2949-salvarano-grassano-salvarano-anello,17 km,strada,asfalto,24 %,335 m,4
808,1822,San Alberto (valli di Comacchio) - Lido di Pomposa,https://www.piste-ciclabili.com/itinerari/1822-san-alberto-valli-di-comacchio-lido-di-pomposa,33 km,ciclostrada,asfalto,2 %,4 m,4
809,2212,San Barnaba - Forlì,https://www.piste-ciclabili.com/itinerari/2212-san-barnaba-forl,17 km,strada,asfalto,4 %,26 m,4
810,3298,San Carlo - Sant'Agostino,https://www.piste-ciclabili.com/itinerari/3298-san-carlo-santagostino,2 km,ciclopedonale,asfalto,5 %,9 m,4
811,3277,San Carlo: statale 225,https://www.piste-ciclabili.com/itinerari/3277-san-carlo-statale-225,1 km,ciclopedonale,asfalto,0 %,3 m,4
812,4534,San Cesario - Graziosa,https://www.piste-ciclabili.com/itinerari/4534-san-cesario-graziosa,4 km,ciclostrada,ghiaia,1 %,18 m,4
813,2632,San Damaso - Torre Maina,https://www.piste-ciclabili.com/itinerari/2632-san-damaso-torre-maina,15 km,ciclabile,ghiaia,0 %,0 m,4
814,4508,San faustino - Rubiera - Fontana,https://www.piste-ciclabili.com/itinerari/4508-san-faustino-rubiera-fontana,8 km,ciclabile,asfalto,2 %,8 m,4
815,4848,San Giovann in Persiceto: Le Budrie terra di S.Clelia e dintorni,https://www.piste-ciclabili.com/itinerari/4848-san-giovann-in-persiceto-le-budrie-terra-di-sclelia-e-dintorni,39 km,strada,asfalto,2 %,16 m,4
816,5411,San Giovanni in Persiceto - Bora e vecchia ferrovia,https://www.piste-ciclabili.com/itinerari/5411-san-giovanni-in-persiceto-bora-e-vecchia-ferrovia,4 km,ciclopedonale,asfalto,5 %,5 m,4
817,5406,San Giovanni in Persiceto - Budrie,https://www.piste-ciclabili.com/itinerari/5406-san-giovanni-in-persiceto-budrie,6 km,strada,asfalto,1 %,11 m,4
818,5407,San Giovanni in Persiceto - Crevalcore,https://www.piste-ciclabili.com/itinerari/5407-san-giovanni-in-persiceto-crevalcore,12 km,strada,asfalto,3 %,8 m,4
819,5413,San Giovanni in Persiceto - Ospedale e Poggio,https://www.piste-ciclabili.com/itinerari/5413-san-giovanni-in-persiceto-ospedale-e-poggio,2 km,ciclopedonale,asfalto,3 %,6 m,4
820,5514,San Giovanni in Persiceto - Padulle,https://www.piste-ciclabili.com/itinerari/5514-san-giovanni-in-persiceto-padulle,12 km,strada,asfalto,3 %,11 m,4
821,5415,San Giovanni in Persiceto - Parco di Via Costituzione e Asilo Nicoli,https://www.piste-ciclabili.com/itinerari/5415-san-giovanni-in-persiceto-parco-di-via-costituzione-e-asilo-nicoli,1 km,ciclopedonale,asfalto,2 %,4 m,4
822,5408,San Giovanni in Persiceto - Sant'Agata Bolognese,https://www.piste-ciclabili.com/itinerari/5408-san-giovanni-in-persiceto-santagata-bolognese,4 km,strada,asfalto,0 %,7 m,4
823,5414,San Giovanni in Persiceto - Via Cappuccini e Scuole Medie,https://www.piste-ciclabili.com/itinerari/5414-san-giovanni-in-persiceto-via-cappuccini-e-scuole-medie,2 km,ciclopedonale,asfalto,2 %,5 m,4
824,5354,San Giovanni in Persiceto - Via Castagnolo,https://www.piste-ciclabili.com/itinerari/5354-san-giovanni-in-persiceto-via-castagnolo,2 km,ciclopedonale,asfalto,2 %,4 m,4
825,5416,San Giovanni in Persiceto - Zona Industriale,https://www.piste-ciclabili.com/itinerari/5416-san-giovanni-in-persiceto-zona-industriale,2 km,ciclopedonale,asfalto,2 %,5 m,4
826,5412,San Giovanni in Persiceto - Zona Marcolfa e Stazione Treni,https://www.piste-ciclabili.com/itinerari/5412-san-giovanni-in-persiceto-zona-marcolfa-e-stazione-treni,8 km,ciclopedonale,asfalto,5 %,6 m,4
827,3344,San Giovanni in Persiceto: circonvallazione (anello),https://www.piste-ciclabili.com/itinerari/3344-san-giovanni-in-persiceto-circonvallazione-anello,3 km,ciclopedonale,asfalto,1 %,6 m,4
828,3345,San Giovanni in Persiceto: via Bologna,https://www.piste-ciclabili.com/itinerari/3345-san-giovanni-in-persiceto-via-bologna,2 km,ciclabile,asfalto,3 %,5 m,4
829,3336,San Giuliano a mare: fiera - Lungomare Tintoni,https://www.piste-ciclabili.com/itinerari/3336-san-giuliano-a-mare-fiera-lungomare-tintoni,5 km,ciclabile,asfalto,2 %,12 m,4
830,2606,San Lazzaro - Pizzocalvo,https://www.piste-ciclabili.com/itinerari/2606-san-lazzaro-pizzocalvo,5 km,ciclopedonale,asfalto,5 %,13 m,4
831,3358,San Lazzaro di Savena: ciclovia Lungo Savena,https://www.piste-ciclabili.com/itinerari/3358-san-lazzaro-di-savena-ciclovia-lungo-savena,4 km,ciclabile,ghiaia,14 %,18 m,4
832,2607,"San Lazzaro, via Palazzetti - Idice",https://www.piste-ciclabili.com/itinerari/2607-san-lazzaro-via-palazzetti-idice,3 km,strada,asfalto,3 %,10 m,4
833,2608,"San Lazzaro, via Palazzetti - Noce di Mercatale",https://www.piste-ciclabili.com/itinerari/2608-san-lazzaro-via-palazzetti-noce-di-mercatale,9 km,strada,misto,8 %,62 m,4
834,6185,San Marino - Bentivoglio,https://www.piste-ciclabili.com/itinerari/6185-san-marino-bentivoglio,6 km,ciclabile,misto,2 %,5 m,4
835,1115,San Marino: strada di confine,https://www.piste-ciclabili.com/itinerari/1115-san-marino-strada-di-confine,2 km,ciclopedonale,ghiaia,4 %,31 m,4
836,3642,San Martino in Rio - Bagno,https://www.piste-ciclabili.com/itinerari/3642-san-martino-in-rio-bagno,19 km,strada,asfalto,2 %,18 m,4
837,2842,San Martino in Rio - Correggio: Tangenziale,https://www.piste-ciclabili.com/itinerari/2842-san-martino-in-rio-correggio-tangenziale,11 km,ciclostrada,misto,8 %,10 m,4
838,2838,San Martino in Rio: anello ciclabile Rocca - laghetti,https://www.piste-ciclabili.com/itinerari/2838-san-martino-in-rio-anello-ciclabile-rocca-laghetti,5 km,ciclostrada,misto,0 %,0 m,4
839,173,San Martino Secchia - Ponte Alto,https://www.piste-ciclabili.com/itinerari/173-san-martino-secchia-ponte-alto,21 km,ciclabile,ghiaia,2 %,13 m,4
840,3321,San Martino: ciclopedonale,https://www.piste-ciclabili.com/itinerari/3321-san-martino-ciclopedonale,2 km,ciclopedonale,asfalto,5 %,4 m,4
841,3328,San Mauro a Mare: via Alfredo Panzini,https://www.piste-ciclabili.com/itinerari/3328-san-mauro-a-mare-via-alfredo-panzini,1 km,ciclopedonale,asfalto,1 %,3 m,4
842,3100,San Nazzaro - Cremona (anello),https://www.piste-ciclabili.com/itinerari/3100-san-nazzaro-cremona-anello,44 km,ciclabile,asfalto,3 %,14 m,4
843,4844,San Pietro In Casale - Bentivoglio - Bologna,https://www.piste-ciclabili.com/itinerari/4844-san-pietro-in-casale-bentivoglio-bologna,28 km,strada,asfalto,5 %,38 m,4
844,3247,San Pietro in Casale: Ciclabile di Via Puccini,https://www.piste-ciclabili.com/itinerari/3247-san-pietro-in-casale-ciclabile-di-via-puccini,1 km,ciclopedonale,asfalto,2 %,2 m,4
845,3228,San Pietro in Trento - Poggiolo - Volture,https://www.piste-ciclabili.com/itinerari/3228-san-pietro-in-trento-poggiolo-volture,22 km,strada,asfalto,11 %,183 m,4
